Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
GODREJ CONSUMER PRODUCTS LTD,INE102D01028,SB1BDGY05,0.0%,Consumer Staples,India,BB
GODREJ INDUSTRIES LTD,INE233A01035,SB1BFBC99,0.0%,Industrials,India,A
GODREJ PROPERTIES LTD,INE484J01027,SBGQL7293,0.0%,Real Estate,India,B
GRANULES INDIA LTD,INE101D01020,SBWCGVX95,0.0%,Health Care,India,
GRAPHITE INDIA LTD,INE371A01025,SB1KMXR06,0.0%,Industrials,India,
GRASIM INDUSTRIES LTD,INE047A01021,SBYQKH334,0.0%,Materials,India,BB
GRINDWELL NORTON LTD,INE536A01023,SB156WQ91,0.0%,Industrials,India,
GUJARAT FLUOROCHEMICALS LTD,INE09N301011,SBK10P031,0.0%,Materials,India,
GUJARAT GAS LTD,INE844O01030,SBGS92Z98,0.0%,Utilities,India,B
GUJARAT NARMADA VALLEY FERTILIZERS,INE113A01013,S61010484,0.0%,Materials,India,
GUJARAT STATE FERTILIZERS AND CHEM,INE026A01025,SB71NQN18,0.0%,Materials,India,
GUJARAT STATE PETRONET LTD,INE246F01010,SB0YVBS38,0.0%,Utilities,India,B
HAPPIEST MINDS TECHNOLOGIES PVT LT,INE419U01012,SBMC52Y42,0.0%,Information Technology,India,
HAVELLS INDIA LTD,INE176B01034,SBQGZWP99,0.0%,Industrials,India,A
HCL TECHNOLOGIES LTD,INE860A01027,S62948963,0.0%,Information Technology,India,A
HDFC ASSET MANAGEMENT COMPANY LTD,INE127D01025,SBG0R3M59,0.0%,Financials,India,BB
HDFC BANK ADR REPRESENTING THREE L,US40415F1012,40415F101,0.0%,Financials,India,AA
HDFC LIFE INSURANCE COMPANY LTD,INE795G01014,BRTD6F324,0.0%,Financials,India,BBB
HDFC LIFE INSURANCE COMPANY LTD,INE795G01014,SBF0TRG60,0.0%,Financials,India,
HEG LTD,INE545A01016,S63998876,0.0%,Industrials,India,
HERO MOTOCORP LTD,INE158A01026,S63273270,0.0%,Consumer Discretionary,India,A
HFCL LTD,INE548A01028,S62084116,0.0%,Communication Services,India,
HINDALCO INDUSTRIES LTD,INE038A01020,SB0GWF482,0.0%,Materials,India,BBB
HINDUSTAN PETROLEUM CORP LTD,INE094A01015,S61004768,0.0%,Energy,India,BB
HINDUSTAN UNILEVER LTD,INE030A01027,S62616743,0.0%,Consumer Staples,India,A
HOUSING DEVELOPMENT FINANCE CORPOR,INE001A01036,S61719001,0.2%,Financials,India,A
ICICI BANK LTD,INE090A01021,SBSZ2BY71,0.0%,Financials,India,A
ICICI LOMBARD GENERAL INSURANCE CO,INE765G01017,BRTCF3NU9,0.0%,Financials,India,
ICICI LOMBARD GENERAL INSURANCE CO,INE765G01017,SBYXH7P98,0.0%,Financials,India,BBB
ICICI PRUDENTIAL LIFE INSURANCE CO,INE726G01019,SBYXL8H09,0.0%,Financials,India,A
ICICI SECURITIES LTD,INE763G01038,SBF2LT083,0.0%,Financials,India,BB
IDFC FIRST BANK LTD,INE092T01019,SBYWZNK17,0.0%,Financials,India,A
IDFC LTD,INE043D01016,SB0C5QR17,0.0%,Financials,India,
IIFL FINANCE LTD,INE530B01024,SB0838V70,0.0%,Financials,India,
INDIA CEMENTS LTD,INE383A01012,S61500625,0.0%,Materials,India,
INDIABULLS HOUSING FINANCE LTD,INE148I01020,SB98CG572,0.0%,Financials,India,
INDIABULLS REAL ESTATE LTD,INE069I01010,SB1TRMQ80,0.0%,Real Estate,India,
INDIAMART INTERMESH LTD,INE933S01016,SBKDX4P88,0.0%,Industrials,India,
INDIAN BANK,INE562A01011,SB1SFSX27,0.0%,Financials,India,
INDIAN ENERGY EXCHANGE LTDINARY,INE022Q01020,SBGLRNT11,0.0%,Financials,India,
INDIAN HOTELS LTD,INE053A01029,SB1FRT612,0.0%,Consumer Discretionary,India,
INDIAN OIL CORP LTD,INE242A01010,S62537675,0.0%,Energy,India,BB
INDIAN RAILWAY CATERING AND TOURIS,INE335Y01020,SBL6C4827,0.0%,Industrials,India,CCC
INDRAPRASTHA GAS LTD,INE203G01027,SBD9PXD00,0.0%,Utilities,India,BB
INDUS TOWERS LTD,INE121J01017,SB92P9G42,0.0%,Communication Services,India,B
INDUSIND BANK LTD,INE095A01012,S61004545,0.0%,Financials,India,A
