Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
CHINA MEDICAL SYSTEM HOLDINGS LTD,KYG211081248,SB6WY9939,0.0%,Health Care,China,AA
CHINA MEHECO LTD A,CNE000000Q29,SBP3R8X19,0.0%,Industrials,China,
CHINA MEIDONG AUTO HOLDINGS LTD,KYG211921021,SBH0VXF71,0.0%,Consumer Discretionary,China,B
CHINA MENGNIU DAIRY LTD,KYG210961051,SB01B1L98,0.0%,Consumer Staples,China,BBB
CHINA MERCHANTS BANK LTD A,CNE000001B33,SBP3R2737,0.0%,Financials,China,A
CHINA MERCHANTS BANK LTD H,CNE1000002M1,SB1DYPZ56,0.0%,Financials,China,A
CHINA MERCHANTS PORT HOLDINGS LTD,HK0144000764,S64161391,0.0%,Industrials,China,CCC
CHINA MERCHANTS SECURITIES LTD A,CNE100000HK9,SBP3R3032,0.0%,Financials,China,BB
CHINA MERCHANTS SHEKOU INDUSTRIAL,CNE100002FC6,SBD5CPM82,0.0%,Real Estate,China,BB
CHINA MINMETALS RARE EARTH LTD A,CNE000000WS2,SBFY8HG95,0.0%,Materials,China,CCC
CHINA MINSHENG BANKING CORP LTD A,CNE0000015Y0,SBP3R2C80,0.0%,Financials,China,BBB
CHINA MINSHENG BANKING CORP LTD H,CNE100000HF9,SB57JY242,0.0%,Financials,China,BBB
CHINA MODERN DAIRY HOLDINGS LTD,KYG215791008,SB3PZ2V51,0.0%,Consumer Staples,China,CCC
CHINA MOLYBDENUM LTD A,CNE100001NR0,SBP3R5748,0.0%,Materials,China,A
CHINA MOLYBDENUM LTD H,CNE100000114,SB1VRCG62,0.0%,Materials,China,A
CHINA NATIONAL BUILDING MATERIAL L,CNE1000002N9,SB0Y91C16,0.0%,Materials,China,B
CHINA NATIONAL CHEMICAL ENGINEERIN,CNE100000KC0,SBP3R4J97,0.0%,Industrials,China,B
CHINA NATIONAL MEDICINES CORP LTD,CNE000001D56,SBP3R9B60,0.0%,Health Care,China,BB
CHINA NATIONAL NUCLEAR POWER LTD A,CNE1000022N7,SBYQDNJ08,0.0%,Utilities,China,B
CHINA NEW HIGHER EDUCATION GROUP L,KYG2163K1076,SBDRXQR19,0.0%,Consumer Discretionary,China,
CHINA NONFERROUS MINING CORPORATIO,HK0000112026,SB890GY23,0.0%,Materials,China,
CHINA NORTHERN RARE EARTH (GROUP),CNE000000T18,SBP3R3701,0.0%,Materials,China,CCC
CHINA OILFIELD SERVICES LTD H,CNE1000002P4,S65609950,0.0%,Energy,China,B
CHINA ORIENTAL LTD,BMG2108V1019,S67410134,0.0%,Materials,China,
CHINA OVERSEAS LAND INVESTMENT LTD,HK0688002218,S61921508,0.0%,Real Estate,China,BB
CHINA PACIFIC INSURANCE (GROUP) LT,CNE1000008M8,SBP3R2K65,0.0%,Financials,China,BB
CHINA PACIFIC INSURANCE (GROUP) LT,CNE1000009Q7,SB2Q5H567,0.0%,Financials,China,BB
CHINA PETROLEUM & CHEMICAL CORP A,CNE0000018G1,SBP3R2406,0.0%,Energy,China,BB
CHINA PETROLEUM AND CHEMICAL CORP,CNE1000002Q2,S62918198,0.0%,Energy,China,BB
CHINA RAILWAY GROUP LTD A,CNE100000866,SBP3R3D61,0.0%,Industrials,China,B
CHINA RAILWAY GROUP LTD H,CNE1000007Z2,SB297KM75,0.0%,Industrials,China,B
CHINA RAILWAY SIGNAL & COMMUNICATI,CNE100003MP2,SBK71F880,0.0%,Information Technology,China,A
CHINA RAILWAY SIGNAL COMMUNICATION,CNE1000021L3,SBYVDW437,0.0%,Information Technology,China,A
CHINA RESOURCES BEER HOLDINGS LTD,HK0291001490,S69724599,0.1%,Consumer Staples,China,BB
CHINA RESOURCES CEMENT HOLDINGS LT,KYG2113L1068,SB41XC982,0.0%,Materials,China,BB
CHINA RESOURCES GAS GROUP LTD,BMG2113B1081,S65355174,0.0%,Utilities,China,A
CHINA RESOURCES LAND LTD,KYG2108Y1052,S61937660,0.0%,Real Estate,China,BBB
CHINA RESOURCES MEDICAL HLDGS LTD,KYG2133W1087,SBYNKP986,0.0%,Health Care,China,
CHINA RESOURCES MICROELECTRONICS L,CNE100003S06,SBP91NW12,0.0%,Information Technology,China,BB
CHINA RESOURCES MIXC LIFESTYLE SER,KYG2122G1064,SBMXWXT69,0.0%,Real Estate,China,BBB
CHINA RESOURCES POWER LTD,HK0836012952,B0A0GZYU0,0.0%,Utilities,China,BBB
CHINA RESOURCES SANJIU MEDICAL AND,CNE0000011K8,SBD5CL424,0.0%,Health Care,China,BBB
CHINA RUYI HOLDINGS LTD,BMG4404N1149,SBMDMJ876,0.0%,Consumer Discretionary,China,A
CHINA SCE GROUP HOLDINGS LTD,KYG211901064,SBKS11893,0.0%,Real Estate,China,B
CHINA SECURITIES LTD A,CNE1000031T5,SBDZRFN40,0.0%,Financials,China,BBB
CHINA SHENHUA ENERGY LTD A,CNE100000767,SBP3R2620,0.0%,Energy,China,B
CHINA SHENHUA ENERGY LTD H,CNE1000002R0,SB09N7M03,0.0%,Energy,China,B
CHINA SHINEWAY PHARMACEUTICAL LTD,KYG2110P1000,SB045C049,0.0%,Health Care,China,
CHINA SOUTHERN AIRLINES LTD A,CNE000001FG0,SBP3R6G04,0.0%,Industrials,China,BBB
CHINA SOUTHERN AIRLINES LTD H,CNE1000002T6,S60136934,0.0%,Industrials,China,BBB
CHINA STATE CONSTRUCTION ENGINEERI,CNE100000F46,SBP3R2Q28,0.0%,Industrials,China,B
CHINA STATE CONSTRUCTION INTERNATI,KYG216771363,SB0BM5T89,0.0%,Industrials,China,CCC
CHINA SUNTIEN GREEN ENERGY CORP LT,CNE100000TW9,SB3ZXLP64,0.0%,Energy,China,AA
CHINA THREE GORGES RENEWABLES(GROU,CNE1000051F2,SBP91P368,0.0%,Utilities,China,BBB
